"","RNA1","RNA2","PTN2","PTN4","PTN3","PTN1","Phos2","Phos1","Phos3","Glyco2","Glyco1","class"
"N111T112",1,0,1,0,0,0,1,0,0,1,0,1
"N115T116",0,1,0,0,0,1,1,0,0,0,1,2
"N117T118",0,1,1,0,0,0,1,0,0,1,0,1
"N119T120",0,1,1,0,0,0,0,0,1,1,0,1
"N123T124",1,0,0,0,0,1,1,0,0,0,1,2
"N131T132",0,1,0,0,0,1,1,0,0,0,1,2
"N135T136",1,0,1,0,0,0,1,0,0,1,0,1
"N137T138",1,0,0,0,0,1,1,0,0,0,1,2
"N139T140",1,0,1,0,0,0,0,0,1,1,0,1
"N13T14",1,0,0,0,1,0,0,1,0,0,1,3
"N143T144",1,0,0,0,0,1,0,0,1,0,1,2
"N145T146",1,0,0,0,1,0,0,0,1,1,0,1
"N147T148",1,0,1,0,0,0,0,0,1,1,0,1
"N149T150",0,1,0,1,0,0,0,1,0,0,1,3
"N155T156",0,1,0,1,0,0,0,1,0,0,1,3
"N15T16",0,1,0,0,0,1,0,1,0,0,1,3
"N161T162",1,0,0,0,1,0,0,0,1,1,0,1
"N163T164",1,0,0,0,1,0,0,0,1,0,1,3
"N165T166",0,1,0,1,0,0,0,1,0,0,1,3
"N167T168",1,0,1,0,0,0,0,0,1,1,0,1
"N169T170",1,0,1,0,0,0,0,0,1,1,0,1
"N173T174",1,0,0,0,1,0,0,0,1,1,0,1
"N179T180",1,0,0,1,0,0,0,1,0,0,1,3
"N17T18",1,0,0,0,0,1,1,0,0,0,1,2
"N181T182",0,1,0,1,0,0,0,1,0,0,1,3
"N189T190",1,0,0,0,1,0,0,1,0,0,1,3
"N191T192",1,0,0,0,1,0,0,1,0,1,0,1
"N193T194",0,1,0,0,0,1,0,1,0,0,1,3
"N195T196",0,1,0,0,0,1,1,0,0,0,1,2
"N199T200",1,0,0,0,0,1,1,0,0,0,1,2
"N201T202",1,0,1,0,0,0,0,0,1,1,0,1
"N203T204",1,0,0,0,0,1,1,0,0,1,0,1
"N209T210",1,0,0,0,0,1,1,0,0,0,1,2
"N211T212",0,1,0,0,0,1,1,0,0,0,1,2
"N213T214",0,1,0,0,0,1,1,0,0,0,1,2
"N215T216",1,0,0,0,1,0,0,1,0,0,1,3
"N217T218",0,1,0,0,0,1,1,0,0,0,1,2
"N219T220",0,1,0,0,0,1,0,1,0,0,1,3
"N21T22",1,0,0,0,0,1,1,0,0,0,1,2
"N221T222",1,0,1,0,0,0,0,0,1,1,0,1
"N225T226",1,0,1,0,0,0,0,0,1,1,0,1
"N231T232",1,0,0,0,0,1,1,0,0,0,1,2
"N235T236",0,1,0,0,1,0,0,1,0,0,1,3
"N2397T2398",1,0,1,0,0,0,1,0,0,1,0,1
"N23T24",0,1,0,1,0,0,0,1,0,0,1,3
"N247T248",1,0,0,0,1,0,0,1,0,1,0,1
"N249T250",0,1,1,0,0,0,1,0,0,1,0,1
"N253T254",1,0,1,0,0,0,0,0,1,1,0,1
"N257T258",0,1,0,0,0,1,0,1,0,0,1,3
"N25T26",1,0,0,0,0,1,1,0,0,0,1,2
"N265T266",0,1,0,0,1,0,0,1,0,0,1,3
"N267T268",1,0,0,0,0,1,0,1,0,0,1,2
"N269T270",1,0,0,1,0,0,0,1,0,0,1,3
"N271T272",1,0,0,1,0,0,0,1,0,0,1,3
"N27T28",0,1,0,1,0,0,0,1,0,0,1,3
"N29T30",1,0,0,0,1,0,0,1,0,0,1,3
"N31T32",1,0,0,0,1,0,0,1,0,0,1,3
"N33T34",1,0,0,0,1,0,0,1,0,0,1,3
"N35T36",1,0,0,0,1,0,0,1,0,1,0,1
"N37T38",1,0,0,1,0,0,0,1,0,0,1,3
"N39T40",1,0,0,1,0,0,0,1,0,0,1,3
"N41T42",1,0,0,1,0,0,0,1,0,0,1,3
"N43T44",1,0,1,0,0,0,0,0,1,1,0,1
"N45T46",1,0,0,0,0,1,1,0,0,0,1,2
"N5263T5264",0,1,0,0,0,1,0,1,0,0,1,3
"N5357T5358",0,1,0,0,0,1,1,0,0,0,1,2
"N5373T5374",1,0,0,0,1,0,0,0,1,1,0,1
"N5381T5382",0,1,0,0,0,1,1,0,0,0,1,2
"N53T54",1,0,0,0,0,1,1,0,0,0,1,2
"N55T56",0,1,0,0,0,1,1,0,0,0,1,2
"N5759T5760",1,0,0,0,0,1,1,0,0,0,1,2
"N59T60",1,0,1,0,0,0,0,0,1,1,0,1
"N61T62",1,0,1,0,0,0,0,0,1,1,0,1
"N63T64",1,0,1,0,0,0,0,0,1,1,0,1
"N65T66",1,0,1,0,0,0,0,0,1,1,0,1
"N67T68",1,0,1,0,0,0,0,0,1,1,0,1
"N87T88",0,1,0,0,0,1,1,0,0,0,1,2
"N89T90",1,0,0,0,0,1,0,0,1,1,0,1
"N91T92",1,0,1,0,0,0,0,0,1,1,0,1
"N95T96",0,1,1,0,0,0,0,0,1,1,0,1
