pathway,ARID1A,RHOA,CDH1
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met),3.184831174079355,1.889624288546508,
trefoil factors initiate mucosal healing,2.1587334351102316,,
IL-6 signaling pathway,2.1587334351102316,,
EGF-EGFR signaling pathway,2.1587334351102316,1.7195629393164769,
Nephrin/Neph1 signaling in the kidney podocyte,2.1587334351102316,,
Gastrin signaling pathway,2.1587334351102316,1.2366709890218888,
Regulation of Telomerase,2.1587334351102316,1.732594051350597,1.5498949163163733
endocytotic role of ndk phosphins and dynamin,2.1587334351102316,,
IL-3 signaling pathway,2.1587334351102316,,
T-cell receptor (TCR) signaling pathway,2.1587334351102316,,
Tight junction - Homo sapiens (human),1.9618129028943831,1.889624288546508,
Validated targets of C-MYC transcriptional activation,1.5549723000767859,,3.792465695640264
Androgen receptor signaling pathway,1.5366921629687982,1.7404950671121213,
Integrins in angiogenesis,,1.889624288546508,
Signaling events mediated by VEGFR1 and VEGFR2,,1.889624288546508,
integrin signaling pathway,,1.889624288546508,
TGF-beta Signaling Pathway,,1.889624288546508,0.9979116941705695
Focal Adhesion,,1.889624288546508,
Focal adhesion - Homo sapiens (human),,1.889624288546508,
Beta3 integrin cell surface interactions,,1.732594051350597,
Signaling events mediated by HDAC Class I,,1.622691530219139,2.7646139877103475
cycling of ran in nucleocytoplasmic transport,,1.2366709890218888,3.217472851172107
Spliceosome - Homo sapiens (human),,1.2229429047634053,4.5132792629076635
mRNA Processing,,,6.086710371473039
mechanism of protein import into the nucleus,,,2.7646139877103475
Ribosome biogenesis in eukaryotes - Homo sapiens (human),,,1.761479683609228
Direct p53 effectors,,,1.6727610957738646
RNA transport - Homo sapiens (human),,,1.5106476069079595
